"","seed","gpt_informed_accuracy","gpt_naive_accuracy","claude_naive_accuracy","claude_informed_accuracy","EXTRATREES_accuracy","GLMNETLasso_accuracy","GLMNETRidge_accuracy","NNET_accuracy","RF_accuracy"
"1",1,0.368421052631579,0.552631578947368,0.631578947368421,0.552631578947368,0.473684210526316,0.526315789473684,0.552631578947368,0.526315789473684,0.5
"2",2,0.526315789473684,0.526315789473684,0.605263157894737,0.578947368421053,0.631578947368421,0.657894736842105,0.605263157894737,0.605263157894737,0.578947368421053
"3",3,0.552631578947368,0.578947368421053,0.631578947368421,0.552631578947368,0.605263157894737,0.657894736842105,0.631578947368421,0.552631578947368,0.605263157894737
"4",4,0.578947368421053,0.657894736842105,0.5,0.421052631578947,0.605263157894737,0.552631578947368,0.605263157894737,0.526315789473684,0.657894736842105
"5",5,0.578947368421053,0.552631578947368,0.394736842105263,0.394736842105263,0.5,0.552631578947368,0.526315789473684,0.526315789473684,0.526315789473684
"6",6,0.473684210526316,0.605263157894737,0.421052631578947,0.552631578947368,0.526315789473684,0.631578947368421,0.578947368421053,0.526315789473684,0.552631578947368
"7",7,0.447368421052632,0.473684210526316,0.447368421052632,0.578947368421053,0.552631578947368,0.736842105263158,0.526315789473684,0.605263157894737,0.605263157894737
"8",8,0.578947368421053,0.526315789473684,0.447368421052632,0.684210526315789,0.552631578947368,0.605263157894737,0.631578947368421,0.473684210526316,0.526315789473684
"9",9,0.684210526315789,0.605263157894737,0.394736842105263,0.552631578947368,0.552631578947368,0.605263157894737,0.657894736842105,0.605263157894737,0.578947368421053
"10",10,0.578947368421053,0.552631578947368,0.473684210526316,0.513513513513513,0.631578947368421,0.552631578947368,0.657894736842105,0.526315789473684,0.552631578947368
"11",11,0.473684210526316,0.631578947368421,0.552631578947368,0.605263157894737,0.473684210526316,0.605263157894737,0.552631578947368,0.657894736842105,0.473684210526316
"12",12,0.605263157894737,0.657894736842105,0.447368421052632,0.5,0.578947368421053,0.631578947368421,0.684210526315789,0.657894736842105,0.578947368421053
"13",13,0.657894736842105,0.447368421052632,0.342105263157895,0.447368421052632,0.526315789473684,0.447368421052632,0.473684210526316,0.5,0.5
"14",14,0.552631578947368,0.552631578947368,0.421052631578947,0.567567567567568,0.5,0.5,0.552631578947368,0.631578947368421,0.5
"15",15,0.526315789473684,0.552631578947368,0.578947368421053,0.5,0.578947368421053,0.552631578947368,0.605263157894737,0.578947368421053,0.526315789473684
"16",16,0.552631578947368,0.578947368421053,0.447368421052632,0.5,0.631578947368421,0.578947368421053,0.605263157894737,0.605263157894737,0.605263157894737
"17",17,0.447368421052632,0.631578947368421,0.447368421052632,0.447368421052632,0.605263157894737,0.5,0.473684210526316,0.552631578947368,0.631578947368421
"18",18,0.578947368421053,0.552631578947368,0.473684210526316,0.552631578947368,0.552631578947368,0.447368421052632,0.552631578947368,0.605263157894737,0.552631578947368
