"","seed","gpt_informed_accuracy","gpt_naive_accuracy","claude_naive_accuracy","claude_informed_accuracy","EXTRATREES_accuracy","GLMNETLasso_accuracy","GLMNETRidge_accuracy","NNET_accuracy","RF_accuracy"
"1",1,0.761194029850746,0.656716417910448,0.417910447761194,0.462686567164179,0.791044776119403,0.791044776119403,0.805970149253731,0.82089552238806,0.776119402985075
"2",2,0.761194029850746,0.761194029850746,0.611940298507463,0.417910447761194,0.850746268656716,0.865671641791045,0.835820895522388,0.835820895522388,0.850746268656716
"3",3,0.865671641791045,0.850746268656716,0.507462686567164,0.507462686567164,0.865671641791045,0.895522388059702,0.865671641791045,0.865671641791045,0.880597014925373
"4",4,0.761194029850746,0.835820895522388,0.402985074626866,0.53030303030303,0.835820895522388,0.805970149253731,0.835820895522388,0.835820895522388,0.850746268656716
"5",5,0.776119402985075,0.880597014925373,0.567164179104478,0.537313432835821,0.850746268656716,0.835820895522388,0.835820895522388,0.761194029850746,0.805970149253731
"6",6,0.850746268656716,0.865671641791045,0.626865671641791,0.611940298507463,0.895522388059702,0.880597014925373,0.880597014925373,0.865671641791045,0.895522388059702
"7",7,0.850746268656716,0.791044776119403,0.492537313432836,0.447761194029851,0.850746268656716,0.865671641791045,0.850746268656716,0.850746268656716,0.865671641791045
"8",8,0.850746268656716,0.746268656716418,0.462686567164179,0.492537313432836,0.850746268656716,0.82089552238806,0.835820895522388,0.82089552238806,0.835820895522388
"9",9,0.805970149253731,0.805970149253731,0.82089552238806,0.492537313432836,0.895522388059702,0.850746268656716,0.880597014925373,0.880597014925373,0.91044776119403
"10",10,0.432835820895522,0.716417910447761,0.507462686567164,0.522388059701492,0.791044776119403,0.835820895522388,0.805970149253731,0.776119402985075,0.776119402985075
"11",11,0.716417910447761,0.880597014925373,0.432835820895522,0.567164179104478,0.850746268656716,0.850746268656716,0.805970149253731,0.805970149253731,0.850746268656716
"12",12,0.865671641791045,0.835820895522388,0.597014925373134,0.492537313432836,0.91044776119403,0.880597014925373,0.880597014925373,0.91044776119403,0.91044776119403
"13",13,0.626865671641791,0.701492537313433,0.507462686567164,0.537313432835821,0.761194029850746,0.761194029850746,0.73134328358209,0.686567164179104,0.805970149253731
"14",14,0.776119402985075,0.880597014925373,0.626865671641791,0.477611940298507,0.835820895522388,0.805970149253731,0.865671641791045,0.82089552238806,0.850746268656716
"15",15,0.805970149253731,0.805970149253731,0.447761194029851,0.393939393939394,0.82089552238806,0.835820895522388,0.791044776119403,0.776119402985075,0.835820895522388
"16",16,0.82089552238806,0.850746268656716,0.567164179104478,0.402985074626866,0.880597014925373,0.865671641791045,0.865671641791045,0.850746268656716,0.835820895522388
"17",17,0.835820895522388,0.73134328358209,0.656716417910448,0.462686567164179,0.82089552238806,0.850746268656716,0.82089552238806,0.805970149253731,0.82089552238806
"18",18,0.82089552238806,0.761194029850746,0.432835820895522,0.462686567164179,0.850746268656716,0.865671641791045,0.850746268656716,0.850746268656716,0.880597014925373
"19",19,0.82089552238806,0.835820895522388,0.447761194029851,0.492537313432836,0.850746268656716,0.850746268656716,0.865671641791045,0.880597014925373,0.865671641791045
"20",20,0.417910447761194,0.835820895522388,0.507462686567164,0.462686567164179,0.850746268656716,0.835820895522388,0.805970149253731,0.82089552238806,0.865671641791045
"21",21,0.791044776119403,0.82089552238806,0.582089552238806,0.417910447761194,0.850746268656716,0.82089552238806,0.835820895522388,0.865671641791045,0.880597014925373
"22",22,0.791044776119403,0.791044776119403,0.432835820895522,0.417910447761194,0.835820895522388,0.82089552238806,0.791044776119403,0.805970149253731,0.82089552238806
"23",23,0.865671641791045,0.850746268656716,0.522388059701492,0.552238805970149,0.895522388059702,0.865671641791045,0.865671641791045,0.865671641791045,0.865671641791045
"24",24,0.746268656716418,0.746268656716418,0.492537313432836,0.492537313432836,0.835820895522388,0.835820895522388,0.835820895522388,0.776119402985075,0.791044776119403
"25",25,0.835820895522388,0.791044776119403,0.46969696969697,0.560606060606061,0.835820895522388,0.850746268656716,0.835820895522388,0.835820895522388,0.835820895522388
"26",26,0.746268656716418,0.626865671641791,0.582089552238806,0.492537313432836,0.761194029850746,0.701492537313433,0.746268656716418,0.701492537313433,0.716417910447761
"27",27,0.82089552238806,0.82089552238806,0.567164179104478,0.552238805970149,0.880597014925373,0.91044776119403,0.880597014925373,0.791044776119403,0.880597014925373
"28",28,0.835820895522388,0.567164179104478,0.552238805970149,0.53030303030303,0.880597014925373,0.835820895522388,0.850746268656716,0.82089552238806,0.835820895522388
"29",29,0.776119402985075,0.865671641791045,0.611940298507463,0.552238805970149,0.850746268656716,0.865671641791045,0.82089552238806,0.791044776119403,0.82089552238806
"30",30,0.582089552238806,0.791044776119403,0.522388059701492,0.477611940298507,0.865671641791045,0.880597014925373,0.850746268656716,0.895522388059702,0.850746268656716
"31",31,0.82089552238806,0.582089552238806,0.484848484848485,0.507462686567164,0.850746268656716,0.776119402985075,0.791044776119403,0.611940298507463,0.850746268656716
"32",32,0.791044776119403,0.835820895522388,0.462686567164179,0.492537313432836,0.850746268656716,0.835820895522388,0.850746268656716,0.746268656716418,0.865671641791045
"33",33,0.716417910447761,0.895522388059702,0.447761194029851,0.462686567164179,0.82089552238806,0.776119402985075,0.791044776119403,0.761194029850746,0.835820895522388
"34",34,0.850746268656716,0.805970149253731,0.477611940298507,0.432835820895522,0.865671641791045,0.880597014925373,0.835820895522388,0.805970149253731,0.91044776119403
"35",35,0.805970149253731,0.865671641791045,0.552238805970149,0.462686567164179,0.880597014925373,0.895522388059702,0.880597014925373,0.895522388059702,0.880597014925373
"36",36,0.82089552238806,0.776119402985075,0.492537313432836,0.537313432835821,0.82089552238806,0.791044776119403,0.805970149253731,0.776119402985075,0.805970149253731
"37",37,0.791044776119403,0.835820895522388,0.447761194029851,0.522388059701492,0.865671641791045,0.865671641791045,0.835820895522388,0.865671641791045,0.865671641791045
"38",38,0.776119402985075,0.761194029850746,0.552238805970149,0.597014925373134,0.776119402985075,0.776119402985075,0.776119402985075,0.791044776119403,0.761194029850746
"39",39,0.850746268656716,0.835820895522388,0.447761194029851,0.507462686567164,0.82089552238806,0.791044776119403,0.776119402985075,0.791044776119403,0.791044776119403
"40",40,0.686567164179104,0.746268656716418,0.582089552238806,0.537313432835821,0.761194029850746,0.761194029850746,0.746268656716418,0.805970149253731,0.776119402985075
"41",41,0.656716417910448,0.73134328358209,0.477611940298507,0.537313432835821,0.761194029850746,0.835820895522388,0.791044776119403,0.761194029850746,0.776119402985075
"42",42,0.656716417910448,0.746268656716418,0.552238805970149,0.507462686567164,0.805970149253731,0.746268656716418,0.835820895522388,0.791044776119403,0.805970149253731
"43",43,0.791044776119403,0.746268656716418,0.582089552238806,0.432835820895522,0.835820895522388,0.835820895522388,0.82089552238806,0.835820895522388,0.791044776119403
"44",44,0.671641791044776,0.776119402985075,0.432835820895522,0.492537313432836,0.761194029850746,0.746268656716418,0.791044776119403,0.805970149253731,0.791044776119403
"45",45,0.746268656716418,0.746268656716418,0.507462686567164,0.402985074626866,0.791044776119403,0.761194029850746,0.73134328358209,0.746268656716418,0.776119402985075
"46",46,0.671641791044776,0.761194029850746,0.447761194029851,0.611940298507463,0.82089552238806,0.850746268656716,0.850746268656716,0.805970149253731,0.805970149253731
"47",47,0.686567164179104,0.776119402985075,0.417910447761194,0.477611940298507,0.761194029850746,0.776119402985075,0.776119402985075,0.776119402985075,0.791044776119403
"48",48,0.835820895522388,0.626865671641791,0.522388059701492,0.507462686567164,0.791044776119403,0.82089552238806,0.82089552238806,0.850746268656716,0.805970149253731
"49",49,0.82089552238806,0.671641791044776,0.537313432835821,0.626865671641791,0.791044776119403,0.746268656716418,0.761194029850746,0.761194029850746,0.761194029850746
"50",50,0.701492537313433,0.597014925373134,0.388059701492537,0.477611940298507,0.805970149253731,0.805970149253731,0.791044776119403,0.791044776119403,0.791044776119403
