"Disease","ML_Model","Comparison","N_1","N_2","t_statistic","df","P_value","P_formatted","Significance","Test"
"KD/MIS-C","EXTRATREES","ChatGPT o3 Short vs ChatGPT o3 Long",100,56,-0.23034539563048,115.342437252423,0.818231432305117,"0.818","ns","t.test"
"KD/MIS-C","EXTRATREES","Claude Opus4 Short vs Claude Opus4 Long",100,100,0.838117063500119,197.337093795162,0.402978949023619,"0.403","ns","t.test"
"KD/MIS-C","EXTRATREES","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",98,100,-0.9291655677126,183.150265330055,0.354026277966636,"0.354","ns","t.test"
"KD/MIS-C","GLMNETLasso","ChatGPT o3 Short vs ChatGPT o3 Long",100,58,0.0817691923471895,122.33574389811,0.934963886239497,"0.935","ns","t.test"
"KD/MIS-C","GLMNETLasso","Claude Opus4 Short vs Claude Opus4 Long",100,100,0.535672658953258,196.968819476104,0.592789138964262,"0.593","ns","t.test"
"KD/MIS-C","GLMNETLasso","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",97,100,-1.42766875238375,184.426590026802,0.155078293893699,"0.155","ns","t.test"
"KD/MIS-C","GLMNETRidge","ChatGPT o3 Short vs ChatGPT o3 Long",100,59,-0.0013068148967187,130.031817507981,0.998959315600466,"0.999","ns","t.test"
"KD/MIS-C","GLMNETRidge","Claude Opus4 Short vs Claude Opus4 Long",100,100,0.943450649972156,197.72607128917,0.346601802218589,"0.347","ns","t.test"
"KD/MIS-C","GLMNETRidge","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",98,100,-1.93672914790815,193.242488499443,0.0542367913362319,"0.054","ns","t.test"
"KD/MIS-C","NNET","ChatGPT o3 Short vs ChatGPT o3 Long",100,59,-1.22578442204688,154.916552121887,0.222139970186097,"0.222","ns","t.test"
"KD/MIS-C","NNET","Claude Opus4 Short vs Claude Opus4 Long",100,100,0.513720203494229,185.400445703983,0.6080593209099,"0.608","ns","t.test"
"KD/MIS-C","NNET","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",98,100,-0.878377274765832,177.756369118313,0.380924764477226,"0.381","ns","t.test"
"KD/MIS-C","RF","ChatGPT o3 Short vs ChatGPT o3 Long",100,58,-0.181969708324627,118.722621604179,0.855916832715628,"0.856","ns","t.test"
"KD/MIS-C","RF","Claude Opus4 Short vs Claude Opus4 Long",100,100,0.558402218321255,196.713952229873,0.577204785251192,"0.577","ns","t.test"
"KD/MIS-C","RF","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",98,100,-0.924555597154044,189.618728408273,0.356372204684743,"0.356","ns","t.test"
"TB","EXTRATREES","ChatGPT o3 Short vs ChatGPT o3 Long",100,100,-0.405100332887382,196.765134287636,0.685843844823272,"0.686","ns","t.test"
"TB","EXTRATREES","Claude Opus4 Short vs Claude Opus4 Long",100,100,3.35748321036527,187.345698793698,0.00095258207241693,"<0.001","***","t.test"
"TB","EXTRATREES","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",97,100,-2.79127126744461,186.265072484337,0.00579726853255034,"0.006","**","t.test"
"TB","GLMNETLasso","ChatGPT o3 Short vs ChatGPT o3 Long",100,100,-0.74455375747363,195.906671870477,0.457433725327891,"0.457","ns","t.test"
"TB","GLMNETLasso","Claude Opus4 Short vs Claude Opus4 Long",100,100,3.40731654775136,187.091076816646,0.000803159599535444,"<0.001","***","t.test"
"TB","GLMNETLasso","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",97,100,-3.61240540451873,181.505363284219,0.000392567142166292,"<0.001","***","t.test"
"TB","GLMNETRidge","ChatGPT o3 Short vs ChatGPT o3 Long",100,100,2.16461580825924,187.569029934658,0.0316805687902856,"0.032","*","t.test"
"TB","GLMNETRidge","Claude Opus4 Short vs Claude Opus4 Long",100,100,6.13995322325825,173.197136392447,5.47748545768205e-09,"<0.001","****","t.test"
"TB","GLMNETRidge","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",97,100,-3.01585248914366,181.13799425072,0.00293085476212757,"0.003","**","t.test"
"TB","NNET","ChatGPT o3 Short vs ChatGPT o3 Long",100,100,0.630139950047652,196.236529477451,0.529336088615431,"0.529","ns","t.test"
"TB","NNET","Claude Opus4 Short vs Claude Opus4 Long",100,100,4.79196068918626,184.370768046533,3.38751523209663e-06,"<0.001","****","t.test"
"TB","NNET","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",97,100,-3.06493907411731,184.591406734689,0.00250360815175719,"0.003","**","t.test"
"TB","RF","ChatGPT o3 Short vs ChatGPT o3 Long",100,100,-0.307035903580734,195.493752161104,0.759142850193193,"0.759","ns","t.test"
"TB","RF","Claude Opus4 Short vs Claude Opus4 Long",100,100,2.80125541891897,188.37913934813,0.00562184410483786,"0.006","**","t.test"
"TB","RF","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",97,100,-2.84247465792765,183.50203900339,0.00498353406880793,"0.005","**","t.test"
"ME/CFS","EXTRATREES","ChatGPT o3 Short vs ChatGPT o3 Long",100,100,-0.642948889201006,197.88049696202,0.521001577845078,"0.521","ns","t.test"
"ME/CFS","EXTRATREES","Claude Opus4 Short vs Claude Opus4 Long",100,100,-0.809270030329536,194.81301069471,0.419347128934685,"0.419","ns","t.test"
"ME/CFS","EXTRATREES","Gemini 2.5 Pro Short vs Gemini 2.5 Pro Long",100,100,-1.73028875464758,197.695097870072,0.0851392248854546,"0.085","ns","t.test"
