IL1B	95
IL6	95
TNF	95
IFNG	93
IL10	92
ICAM1	83
IL17A	82
SELE	82
VCAM1	80
NFKB1	78
CD4	77
CD8A	75
CXCL10	75
CCL2	74
STAT3	74
IL18	73
NLRP3	73
TLR4	70
TLR2	67
STAT1	65
S100A8	62
SELP	62
S100A9	61
VEGFA	60
CASP1	59
CD19	59
IL1R1	59
MYD88	58
MMP9	56
S100A12	56
VWF	56
C3	54
JAK1	54
CD3E	52
IL15	52
TNFRSF1A	52
CCL3	51
CD14	51
IL1A	51
RELA	51
CCL4	50
CD3D	50
CXCL8	50
IL2	50
JAK2	49
FCGR2A	47
KDR	47
C4A	45
CFH	45
CTLA4	44
ELANE	44
C1QA	43
CCL5	43
MPO	43
PECAM1	43
NPPB	42
TGFB1	42
ANGPT2	41
NOS3	41
CD40	39
C1QB	38
CRP	38
CXCL9	38
IL1RN	38
IL6R	38
CFB	37
IL4	37
TNFRSF1B	37
ANGPT1	36
C1QC	36
CASP3	36
CD163	36
IL12B	36
NFKB2	36
TNNT2	36
EDN1	35
IL15RA	35
MAPK14	35
LCN2	34
TNNI3	34
IL23A	33
SERPINE1	33
THBD	33
CD28	32
ITPKC	32
PYCARD	32
C4B	31
C5	31
IL1R2	31
IL2RA	31
CD68	30
IRF3	30
MYH7	30
RELB	30
CD3G	29
MYH6	29
CTSG	28
IL7	28
IRAK4	28
MS4A1	28
F2	27
F3	27
IL12A	27
NPPA	27
TEK	27
CD79A	26
CD79B	26
FLT1	26
NFKBIA	26
SAA1	26
CD22	25
IL5	25
MX1	25
BLK	24
IRF7	24
OAS1	24
PLAT	24
STAT5A	24
ISG15	23
JAK3	23
HLA-DRA	22
IL10RA	22
MAPK1	22
PDCD1	22
PLAU	22
HLA-DRB1	21
IFNGR1	21
IL2RB	21
IL7R	21
TMPRSS2	21
CDH5	20
FCGR3A	20
ORAI1	20
CXCL2	19
FCGR1A	19
IL13	19
TRAF6	19
ICOS	18
IFNB1	18
IGHG1	18
MAPK3	18
NOD2	18
CD38	17
CD8B	17
HMGB1	17
IGHM	17
IL12RB2	17
IL17RB	17
IL20RA	17
IL21	17
IL32	17
IL4R	17
MMP2	17
STAT5B	17
GATA3	16
IKBKB	16
IL12RB1	16
IL17F	16
IL5RA	16
MMP8	16
TLR9	16
CD86	15
CXCL1	15
IFNA1	15
IL11	15
IL18R1	15
IL21R	15
NOD1	15
TNFRSF12A	15
BCL2	14
CAMP	14
IFNAR1	14
IL18RAP	14
IL1RL1	14
ITGAM	14
MYBPC3	14
SAA2	14
ARG1	13
F5	13
