IL1B	99
IL6	99
STAT1	97
CXCL10	96
TNF	95
IFNG	93
FCGR1A	92
IL10	92
IRF1	92
CXCL9	89
IDO1	88
MMP9	88
CCL2	87
IL12B	85
SOCS3	84
GBP5	82
TLR2	81
TGFB1	79
CCL5	78
TLR4	78
GBP1	77
CXCL11	76
VEGFA	76
CTLA4	74
IRF7	73
LAG3	72
CD274	71
IL18	71
PDCD1	70
NFKB1	68
CASP1	66
HIF1A	66
CCR5	63
FCGR1B	61
BATF2	59
CD14	59
GBP2	59
CXCL8	58
SOCS1	57
ARG1	55
SERPINE1	54
STAT3	54
MYD88	53
STAT2	52
AIM2	50
CD4	50
NLRP3	50
NOS2	50
IFITM3	49
IL1R1	49
CCR7	47
PYCARD	47
IL4	46
IL2	45
PRF1	45
STAT4	45
MMP1	44
CD8A	43
GZMA	43
GBP4	42
IL1RN	42
IL23A	42
S100A8	42
CD86	41
MAPK14	41
IL17A	40
S100A9	40
MARCO	39
OAS1	38
DUSP3	37
GBP6	37
IL2RA	37
C1QB	36
CCR2	36
IL7R	36
PPARG	36
F3	35
ICAM1	35
KLF2	35
RELA	35
IFNGR1	34
CCL3	32
CD80	32
HP	32
CCL4	31
IL27	30
LTF	30
PLAT	30
VCAM1	30
HLA-DRA	29
PTGS2	29
PTPRC	29
FGA	28
HAVCR2	28
IL13	28
JAK2	28
PLAU	28
TIGIT	28
TLR9	28
C1QC	27
FGB	27
IFNGR2	27
MX1	27
SELP	27
TNFRSF1A	27
C1QA	26
FGG	26
GZMB	26
HLA-DRB1	26
IFIT1	25
ISG15	25
MPO	25
IL1A	24
SELL	24
SERPING1	24
CRP	23
HLA-DQA1	23
IFIT2	23
IRF5	23
TAP1	23
CAMP	22
CD36	22
FASN	22
IL5	22
CD40	21
FOS	21
IFIT3	21
IL15	21
JUN	21
MCEMP1	21
BCL2	20
SELE	20
TNFRSF1B	20
AKT1	19
HLA-DQB1	19
IL12A	19
MAPK1	19
MAPK8	19
MMP8	19
S100A12	19
VWF	19
IRF9	18
LDHA	18
CD28	17
GBP3	17
ITGAM	17
LAMP1	17
OAS2	17
PSMB9	17
RSAD2	17
CXCR4	16
ICOS	16
IL12RB1	16
IL6R	16
NOD2	16
OAS3	16
P2RY14	16
RORC	16
